Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
,(Liquid) Sweeper,Slimestone term. Refers to a flying machine that clears out fluid within an area.,,,排水机,绿萌术语。指一种清除区域内液体的飞行器。,,,,,,,,,,,,,,,Barredora (de líquidos),
,1-Wide Trench World Eater (aka Trench-less World Eater),Slimestone term. Usually refers to world eaters that only require 1 wide main trenches on both sides.,,,无沟世吞,绿萌术语。通常指仅需两侧各1格宽主沟渠的世界吞噬者。,,,,,,,,,,,,,,,World eater sin trenches,
,3 Way Duper,Slimestone term. Refers to small TNT dupers with movable stations that move in 3 directions to clear an area,,,三向轰炸机,绿萌术语，指可在三个方向移动的小型TNT复制机，用于清除区域,,,,,,,,,,,,,,,Duper 3D,
,Bartering Farm,,,,猪灵交易所,指通过与猪灵交易获取资源的自动化农场。,,,,,,,,,,,,,,,Granja de Bartering,
,Basalt Farm,,,,玄武岩机,产出玄武岩的刷石机。,,,,,,,,,,,,,,,Granja de Basalto,
,Bomber,Slimestone term. Refers to small TNT dupers with movable stations to clear an area.,,,轰炸机,绿萌术语。指用于清理区域的，小型的移动的TNT复制机。,,,,,,,,,,,,,,,Bombardero,
,Breeder,A contraption that breeds mobs.,,,繁殖机,繁殖生物的装置。,,,,,,,,,,,,,,,Breeder,
,Bridge Maker,,,,造桥机/铺路机,自动建造桥梁以跨越地形的装置。,,,,,,,,,,,,,,,Creadora de Puentes,
,Carpet Duping/Duper,,,,地毯复制/复制机,自动化复制地毯的装置。,,,,,,,,,,,,,,,Duper de alfombras,
,Ceiling Placer,Slimestone term.,,,铺天花板机,,,,,,,,,,,,,,,,Colocador de techos,
,Chunk Loader,,,,区块加载器,指用于保持区块加载以维持装置运行的装置。,,,,,,,,,,,,,,,Cargador de Chunks,
,Chunk Loader Line,,,,区块加载器链,一连串区块加载器。,,,,,,,,,,,,,,,Línea de Cargadores de Chunks,
,Cobblestone Farm,,,,刷石机,自动产出石头的装置。,,,,,,,,,,,,,,,Granja de Cobblestone,
,Concrete Converter,,,,混凝土固化机,将混凝土粉末转换为混凝土的装置。,,,,,,,,,,,,,,,Convertidor de Concreto,
,Concrete Factory,Refers to a contraption that converts concrete powder duped from a gravity block duper to concrete and destroys the concrete.,,,混凝土固化机,将混凝土粉末转换为混凝土的装置，但特别为刷沙机设计。,,,,,,,,,,,,,,,Fábrica de Concreto,
,Dragon Killer/Slayer,,,,屠龙炮,使用高度箭瞬间杀死末影龙的装置。,,,,,,,,,,,,,,,Matador de dragones,
,Elytra Cannon (aka Player Cannon),,,,玩家炮/鞘翅炮,类似珍珠炮，但被推进的是玩家而非珍珠。,,,,,,,,,,,,,,,Cañón de Elytras (o Cañón de Player),
,Floor Placer,Slimestone term.,,,铺地板机,,,,,,,,,,,,,,,,Colocador de suelos,
,Flower Farm,,,,刷花机,产出花的自动化农场。,,,,,,,,,,,,,,,Granja de Flores,
,Fortress Farm,,,,要塞全怪塔/堡垒全怪塔,自动化生产所有下界要塞中怪物的掉落物的自动化农场。,,,,,,,,,,,,,,,Granja general de mobs de fortaleza,
GMF,General Mob Farm,,,,主世界刷怪塔,建造在主世界的自动化怪物战利品获取农场。,,,,,,,,,,,,,,,Granja general de Mobs,
,Gravity Block Duper,,,,刷沙机,自动化复制重力方块的装置。,,,,,,,,,,,,,,,Duper de bloques con gravedad,
,Ice Farm,,,,刷冰机,自动化获取冰的农场。,,,,,,,,,,,,,,,Granja de Hielo,
,Iron Farm,,,,刷铁机,生产铁的自动化农场。,,,,,,,,,,,,,,,Granja de Hierro,
MS,Main Storage,Storage tech term.,,,全物品/全物品分类仓库,储电述语，指一个巨大的仓库，其可分类并存储几乎所有可获得的已知物品。,,,,,,,,,,,,,,,Almacén Principal,
,Map Art,,,,地图画,使用地图进行的艺术创作。,,,,,,,,,,,,,,,Map Art,
,Mob Head Farm,,,,头颅农场,,,,,,,,,,,,,,,,Granja de Cabezas de Mobs,
,Pearl cannon,,,,珍珠炮,指利用爆炸物等推进剂加速珍珠并使其快速移动的装置。,,,,,,,,,,,,,,,Cañón de perlas,
,Pearl Stasis Chamber,,,,珍珠缓存站/滞留站,将珍珠投掷物长久性留存在某个位置的装置。,,,,,,,,,,,,,,,Stasis chamber de Perlas,
,Pig Cannon,,,,猪炮,以极高的速度发射猪。,,,,,,,,,,,,,,,Cañón de Cerdos,
,Piston Bolt,A contraption using an array of pistons to move minecarts on specific rail setup to achieve a high movement speed.,,,矿车传送带/活塞矿车,通过特殊的活塞与铁轨排列以达到高度移动矿车的装置。,,,,,,,,,,,,,,,Piston Bolt,
,Player Cannon (aka Elytra Cannon),,,,玩家炮/鞘翅炮,以极高的速度发射玩家。,,,,,,,,,,,,,,,Cañón de Jugadores (de elytras),
,Quarry,,,,挖矿机/采矿机/采石场,,,,,,,,,,,,,,,,Quarry,
,Quarry Trencher,"A flying machine that makes trench by transporting blocks from terrain and destroys elsewhere, similar to a quarry.",,,挖沟机,指将自动将沿路方块移走并销毁的装置。,,,,,,,,,,,,,,,Trencher de Quarry,
,Rail Duping/Rail Duper,,,,铁轨复制/刷铁轨机,自动化复制铁轨的装置。,,,,,,,,,,,,,,,Duper de Railes,
,Sand Duping/Sand Duper,,,,刷沙/刷沙机,属于重力方块复制机的一种，但仅复制沙子类的方块。*,,,,,,,,,,,,,,,Duper de Arena,
,Sheep Fricker,,,,草羊机,,,,,,,,,,,,,,,,Violadora de Ovejas,
,String Duper,,,,刷线机,,,,,,,,,,,,,,,,Duper de Hilo,
,Trading Hall,,,,村民交易所,,,,,,,,,,,,,,,,Trading Hall,
,Trencher,A flying machine that makes trench.,,,炸沟机/挖沟机,,,,,,,,,,,,,,,,Trencher,
,Trenchless Quarry,Quarry which does not require clearance on the bottom or sides.,,,无沟采矿机,,,,,,,,,,,,,,,,Quarry sin trincheras,
,Trench-less World Eater (aka 1-Wide Trench World Eater),Slimestone term. Usually refers to world eaters that only require 1 wide main trenches on both sides.,,,无沟世吞,,,,,,,,,,,,,,,,World eater sin trenches,
,Tripwire Hook Duper,,,,刷钩机,,,,,,,,,,,,,,,,Duper de Tripwire Hook,
,Tunnel Bore,Slimestone term. Refers to machines that digs tunnels.,,,盾构机,,,,,,,,,,,,,,,,Tuneladora,
UTF,Universal Tree Farm,"Tree farming term. In versions <1.17, refers to tree farm that farms all 5 types of 1x1 trees (birch, oak, spruce, jungle, acacia). In versions >1.17, usually refers to tree farm that can farm all 1x1 trees except mangrove (birch, oak, spruce, jungle, acacia, azalea, cherry).",,,全树种,,,,,,,,,,,,,,,,Granja de Madera Universal,
,Update Skipping/Skipper,,,,更新跳略/跳略机,,,,,,,,,,,,,,,,Update Skipping/Skipper,
,Update Suppression ,"The practice of forcing the game to stop the current block update process, skip all unexecuted block updates, and all of code after the update. ",,,更新抑制 ,指在方块更新传播过程中，迫使游戏停止当前方块更新过程，跳过所有未执行的方块更新，以及更新后的一系列其他游戏逻辑。,,,,,,,,,,,,,,,,
,Update Suppression/Suppressor,,,,更新抑制/抑制器,,,,,,,,,,,,,,,,Update Suppression,
VDQ,Vertical Duping Quarry,Slimestone term.,,,垂直复制采矿机,,,,,,,,,,,,,,,,Quarry de Duplicación de TNT Vertical,
,Wall Placer,Slimestone term.,,,铺墙机/糊墙机,,,,,,,,,,,,,,,,Colocador de Muro,
,Wither Killer,,,,杀凋机,,,,,,,,,,,,,,,,Wither Killer,
,Wool Farm,,,,羊毛机,,,,,,,,,,,,,,,,Granja de Lana,
WE,World Eater,,,,世界吞噬者/世吞,,,,,,,,,,,,,,,,World eater,
